8.212.26.41	2086
47.243.179.249	2053
8.210.250.120	8880
47.243.70.197	2095
47.76.90.242	8443
47.243.179.249	8880
8.210.250.120	8080
47.243.161.235	2052
8.212.50.160	80
8.210.55.134	2087
8.218.143.10	2083
8.218.3.12	8443
8.218.3.12	2096
47.243.179.249	80
8.212.26.41	2095
8.218.3.12	8880
47.76.90.242	80
47.242.21.0	80
47.57.9.17	80
47.52.172.167	80
8.218.136.25	2096
8.217.56.102	80
47.243.70.197	2052
47.243.161.235	2082
47.242.155.183	2083
8.212.27.208	2086
8.218.3.12	8080
8.217.56.102	80
47.76.165.119	80
47.243.162.49	2052
47.243.161.235	2086
47.243.161.235	8880
8.218.156.91	8443
47.243.52.190	80
47.243.179.249	2052
47.243.179.249	2082
8.212.26.72	2086
8.212.26.41	2082
47.243.86.79	2086
8.218.142.253	8443
47.243.70.197	2095
47.243.86.79	2086
47.243.162.49	8880
47.243.179.249	2082
8.218.105.223	2087
47.243.179.249	8880
8.218.143.10	2082
8.218.110.180	2083
8.218.148.106	443
8.218.3.12	2087
47.243.161.235	80
47.243.162.49	2086
47.52.172.167	80
47.243.179.249	2095
8.218.142.253	2096
47.76.90.242	80
47.242.174.27	2096
8.217.147.230	2083
8.218.119.115	2053
47.243.179.249	2052
8.217.147.230	2087
47.243.70.197	2086
8.210.125.142	80
8.218.110.180	2096
47.243.164.81	8080
47.243.162.49	8080
8.218.136.25	2053
8.218.156.91	2083
8.218.127.249	2053
8.218.156.91	2096
8.217.147.230	2053
8.218.142.253	2087
8.210.55.134	2053
8.218.119.115	8443
8.218.119.115	2083
8.218.127.249	2083
8.218.156.91	2087
8.218.136.25	2083
8.218.105.223	2096
47.57.216.19	443
8.218.142.253	2053
47.243.179.249	2086
47.243.179.249	2095
